,Fecha,Hora,Condicion_Clima,Temperatura,Lluvia,Probabilidad_Lluvia
0,2026-08-28,0,Mist,13.4,0,38
1,2026-08-28,1,Mist,13.1,0,26
2,2026-08-28,2,Mist,12.7,0,39
3,2026-08-28,3,Mist,12.8,0,34
4,2026-08-28,4,Fog,12.6,0,46
5,2026-08-28,5,Fog,12.6,0,50
6,2026-08-28,6,Fog,12.6,0,43
7,2026-08-28,7,Mist,14.4,0,38
8,2026-08-28,8,Overcast,16.9,0,27
9,2026-08-28,9,Patchy rain nearby,19.9,0,24
10,2026-08-28,10,Sunny,23.1,0,2
11,2026-08-28,11,Sunny,24.8,0,1
12,2026-08-28,12,Partly Cloudy,25.9,0,3
13,2026-08-28,13,Partly Cloudy,26.2,0,3
14,2026-08-28,14,Sunny,26.0,0,1
15,2026-08-28,15,Sunny,25.6,0,1
16,2026-08-28,16,Overcast,24.6,0,9
17,2026-08-28,17,Light drizzle,22.7,0,36
18,2026-08-28,18,Patchy rain nearby,17.9,0,29
19,2026-08-28,19,Overcast,15.2,0,27
20,2026-08-28,20,Light rain shower,14.3,0,45
21,2026-08-28,21,Patchy rain nearby,13.8,0,43
22,2026-08-28,22,Overcast,13.7,0,31
23,2026-08-28,23,Patchy rain nearby,13.6,0,44
24,2026-09-01,0,Fog,12.9,0,56
25,2026-09-01,1,Light rain shower,13.5,1,76
26,2026-09-01,2,Light rain shower,13.6,0,58
27,2026-09-01,3,Light rain shower,13.6,1,78
28,2026-09-01,4,Fog,13.3,0,51
29,2026-09-01,5,Fog,13.0,0,51
30,2026-09-01,6,Light rain shower,13.4,0,58
31,2026-09-01,7,Light rain shower,13.8,0,44
32,2026-09-01,8,Patchy rain nearby,15.4,0,53
33,2026-09-01,9,Moderate rain at times,17.3,0,59
34,2026-09-01,10,Light rain shower,18.4,0,62
35,2026-09-01,11,Light rain shower,19.1,0,60
36,2026-09-01,12,Light rain shower,19.5,0,54
37,2026-09-01,13,Patchy rain nearby,19.4,0,47
38,2026-09-01,14,Light rain shower,21.2,0,40
39,2026-09-01,15,Light rain shower,20.7,0,37
40,2026-09-01,16,Light rain shower,19.6,0,36
41,2026-09-01,17,Light rain shower,17.5,1,71
42,2026-09-01,18,Light rain shower,14.9,1,70
43,2026-09-01,19,Light rain shower,13.8,0,53
44,2026-09-01,20,Fog,13.4,0,48
45,2026-09-01,21,Fog,13.1,0,50
46,2026-09-01,22,Fog,12.9,0,54
47,2026-09-01,23,Fog,13.0,0,45
48,2026-09-04,0,Mist,12.9,0,38
49,2026-09-04,1,Mist,12.6,0,38
50,2026-09-04,2,Mist,12.4,0,43
51,2026-09-04,3,Mist,12.4,0,40
52,2026-09-04,4,Mist,12.5,0,39
53,2026-09-04,5,Mist,12.3,0,39
54,2026-09-04,6,Mist,12.1,0,39
55,2026-09-04,7,Cloudy,14.0,0,25
56,2026-09-04,8,Overcast,17.2,0,22
57,2026-09-04,9,Overcast,20.1,0,14
58,2026-09-04,10,Partly Cloudy,22.7,0,5
59,2026-09-04,11,Partly Cloudy,24.3,0,4
60,2026-09-04,12,Cloudy,25.3,0,8
61,2026-09-04,13,Sunny,25.2,0,1
62,2026-09-04,14,Cloudy,25.3,0,8
63,2026-09-04,15,Partly Cloudy,24.7,0,4
64,2026-09-04,16,Overcast,23.5,0,9
65,2026-09-04,17,Patchy light drizzle,21.4,0,18
66,2026-09-04,18,Light rain shower,16.2,0,51
67,2026-09-04,19,Overcast,14.6,0,30
68,2026-09-04,20,Patchy rain nearby,14.0,0,36
69,2026-09-04,21,Overcast,13.7,0,32
70,2026-09-04,22,Mist,13.3,0,38
71,2026-09-04,23,Mist,13.1,0,40
