,Fecha,Hora,Condicion_Clima,Temperatura,Lluvia,Probabilidad_Lluvia
0,2026-09-07,0,Overcast,14.1,0,24
1,2026-09-07,1,Patchy rain nearby,13.4,0,29
2,2026-09-07,2,Patchy rain nearby,13.1,0,34
3,2026-09-07,3,Patchy rain nearby,12.9,0,33
4,2026-09-07,4,Overcast,11.8,0,32
5,2026-09-07,5,Overcast,11.6,0,32
6,2026-09-07,6,Cloudy,11.6,0,28
7,2026-09-07,7,Sunny,14.1,0,12
8,2026-09-07,8,Sunny,17.7,0,4
9,2026-09-07,9,Partly Cloudy,20.2,0,6
10,2026-09-07,10,Cloudy,22.1,0,7
11,2026-09-07,11,Cloudy,23.4,0,6
12,2026-09-07,12,Cloudy,24.1,0,6
13,2026-09-07,13,Overcast,24.5,0,8
14,2026-09-07,14,Partly Cloudy,24.1,0,4
15,2026-09-07,15,Overcast,23.9,0,8
16,2026-09-07,16,Overcast,22.8,0,10
17,2026-09-07,17,Overcast,20.9,0,11
18,2026-09-07,18,Light rain shower,15.6,0,38
19,2026-09-07,19,Overcast,14.6,0,28
20,2026-09-07,20,Overcast,13.6,0,31
21,2026-09-07,21,Overcast,13.4,0,31
22,2026-09-07,22,Overcast,13.7,0,31
23,2026-09-07,23,Patchy rain nearby,14.4,0,36
